model_id,kegg.module,module_name
MAR04632,M00958,"Adenine ribonucleotide degradation, AMP => Urate"
MAR04632,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04646,M00959,"Guanine ribonucleotide degradation, GMP => Urate"
MAR04646,M00968,"Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate"
MAR04649,,
MAR04651,,
MAR04663,,
MAR04664,,
MAR04694,,
MAR04695,,
MAR04705,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04709,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04799,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04802,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04804,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04808,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04810,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04812,,
MAR04814,,
MAR05301,M00546,"Purine degradation, xanthine => urea"
MAR05353,M00546,"Purine degradation, xanthine => urea"
MAR06601,M00546,"Purine degradation, xanthine => urea"
MAR06609,,
MAR06611,,
MAR07144,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR09797,M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
MAR04016,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04018,,
MAR04044,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04291,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04420,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04570,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR04572,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR04006,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR04028,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04030,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04030,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04670,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04670,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04673,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04675,,
MAR04635,,
MAR03793,,
MAR03931,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR03969,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR03970,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR03970,M00978,Ornithine-ammonia cycle
MAR04008,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR04032,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR04034,,
MAR04036,,
MAR04050,,
MAR04056,,
MAR04060,,
MAR04127,,
MAR04177,,
MAR04179,,
MAR04182,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR04183,,
MAR04192,,
MAR04194,,
MAR04210,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04211,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04343,,
MAR04345,,
MAR04346,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04470,,
MAR04471,,
MAR04472,,
MAR04484,,
MAR04485,,
MAR04510,,
MAR04512,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR04513,M00968,"Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate"
MAR04514,,
MAR04577,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR04579,M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
MAR04580,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04608,,
MAR04575,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04637,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR04642,,
MAR04643,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04644,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04672,,
MAR04676,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04736,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR04819,,
MAR05299,,
MAR05352,,
MAR05415,,
MAR05416,,
MAR05417,,
MAR06621,,
MAR07744,,
MAR08637,,
MAR03966,,
MAR03968,,
MAR03999,,
MAR04024,,
MAR04026,,
MAR04054,M00176,"Assimilatory sulfate reduction, sulfate => H2S"
MAR04054,M00596,"Dissimilatory sulfate reduction, sulfate => H2S"
MAR04054,M00987,"Assimilatory sulfate reduction, plants, sulfate => H2S"
MAR04061,M00176,"Assimilatory sulfate reduction, sulfate => H2S"
MAR04083,,
MAR04136,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
MAR04180,,
MAR04185,,
MAR04186,,
MAR04342,,
MAR04344,,
MAR04483,,
MAR04507,,
MAR04516,,
MAR04601,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
MAR04633,,
MAR04640,,
MAR04641,,
MAR04680,,
MAR04806,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR05394,,
MAR06625,M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
MAR06626,M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
MAR07717,M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
MAR07875,,
MAR07878,,
MAR07883,,
MAR07886,,
MAR07890,,
MAR07894,,
MAR07895,,
MAR08443,,
MAR08444,,
MAR08445,,
MAR08473,,
MAR08474,,
MAR08477,,
MAR08482,,
MAR08484,,
MAR08486,M00740,Methylaspartate cycle
MAR08487,M00029,Urea cycle
MAR08487,M00844,"Arginine biosynthesis, ornithine => arginine"
MAR08487,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
MAR08487,M00978,Ornithine-ammonia cycle
MAR08488,M00029,Urea cycle
MAR08488,M00844,"Arginine biosynthesis, ornithine => arginine"
MAR08488,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
MAR08488,M00978,Ornithine-ammonia cycle
MAR08489,,
MAR03802,M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"
MAR03802,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
MAR03804,M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"
MAR03804,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
MAR03811,,
MAR03813,,
MAR03822,,
MAR03827,M00029,Urea cycle
MAR03829,M00978,Ornithine-ammonia cycle
MAR03862,,
MAR03865,,
MAR03870,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
MAR03873,,
MAR03890,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
MAR03892,,
MAR09802,,
MAR03899,,
MAR03903,,
MAR04109,,
MAR04114,,
MAR04115,M00027,GABA (gamma-Aminobutyrate) shunt
MAR04118,M00027,GABA (gamma-Aminobutyrate) shunt
MAR04172,M00027,GABA (gamma-Aminobutyrate) shunt
MAR04196,M00025,"Tyrosine biosynthesis, chorismate => HPP => tyrosine"
